@relation cepstral_vec_all.txt-weka.filters.unsupervised.attribute.Remove-R1-3

@attribute ' sex' {' female',' male'}
@attribute ' dim1' numeric
@attribute ' dim2' numeric
@attribute ' dim3' numeric
@attribute ' dim4' numeric
@attribute ' dim5' numeric
@attribute ' dim6' numeric
@attribute ' dim7' numeric
@attribute ' dim8' numeric
@attribute ' dim9' numeric
@attribute ' dim10' numeric
@attribute ' dim11' numeric
@attribute ' dim12' numeric
@attribute ' dim13' numeric

@data
' female',100.892653,-9.005062,-2.778003,-15.798464,3.685891,-9.303658,-9.804949,-3.015241,-10.385377,-11.814299,-22.946836,14.742739,36.56974
' female',104.685904,-8.704525,-3.806508,-17.173236,5.648093,-10.882117,-8.598589,0.556194,-8.216383,-0.98301,-19.647456,-11.843069,-19.827769
' female',103.261046,-10.019832,-3.120883,-15.632694,3.851047,-10.065362,-10.018293,-2.787649,-9.673291,-4.850367,-25.679612,-2.733928,11.940467
' female',105.32698,-5.71901,-3.660217,-14.381185,8.035451,-10.440626,-6.476793,-4.528116,-12.849683,-4.090557,-16.490503,-2.529913,-13.254376
' female',98.443438,-14.188052,9.686514,1.970135,-15.027759,-8.484468,-8.558875,-15.487676,-7.985414,-18.868781,-7.175738,1.340468,16.63004
' female',97.676059,-12.904389,8.415581,-0.22894,-15.755294,-7.470819,-7.796605,-14.065926,-8.528893,-18.119483,-6.75956,11.000482,36.50852
' female',102.47085,-15.480807,8.9826,4.439407,-12.253305,-6.139527,-10.94441,-8.502414,-7.713064,-16.570607,-9.286857,-18.012586,-6.894283
' female',100.277067,-12.145231,11.396211,3.388554,-11.586102,-5.267043,-15.415932,-6.489367,-4.467973,-15.243206,-7.421129,-17.06644,-10.798811
' female',95.643573,-11.027851,4.640446,-0.86331,-18.229188,-4.074179,-13.786998,-15.632958,-8.263673,-11.0902,22.318227,35.626932,23.953423
' female',99.969102,-12.400806,4.212578,-0.875332,-16.778148,-5.128816,-5.341819,-14.561939,-8.056057,-15.618183,-11.186228,13.196293,39.010818
' female',105.756902,-11.552915,4.176143,1.059669,-15.083493,-13.645524,-4.46232,-3.939269,-3.413149,-2.068528,-12.216401,-13.564041,-14.14529
' female',99.855205,-12.210008,2.504242,-2.285179,-15.691897,-3.683616,-13.215243,-11.194828,-12.96727,-8.343028,15.588599,36.842848,29.560839
' female',103.056687,-14.548131,4.984985,-0.298477,-15.877173,-8.254816,-3.057732,-11.98909,-7.412263,-14.206162,-15.459551,-4.526784,25.648772
' female',105.453185,-14.822749,3.821036,1.085279,-14.629268,-10.62034,-2.010571,-10.019155,-5.008914,-8.412875,-15.681718,-15.612236,-7.244681
' female',101.069763,-8.916959,2.42177,-18.030642,3.136443,-8.965773,-13.94764,-3.351816,-13.490324,-7.5354,-22.794581,-3.540893,23.320065
' female',101.069153,-3.498967,2.613746,-19.65469,3.868332,-9.121115,-15.536597,-0.690467,-5.493535,-3.049228,-13.875831,-10.033867,-14.441576
' female',98.68161,-8.561513,2.284582,-17.243326,3.268112,-9.882039,-14.44145,-2.406006,-14.073074,-12.278676,-19.193462,14.419087,42.341636
' female',103.982463,-7.937389,1.23094,-18.609939,5.971846,-7.407234,-14.112883,-2.033006,-12.687164,-2.646061,-14.688671,-17.849421,-12.494558
